"Created","accx","accy","accz","gyrox","gyroy","gyroz","magnetx","magnety","magnetz","lon","lat","error","speed","altitude","mode","pressure"
"2019-07-28 09:00:13.653","5.1392593","-10.424861","3.966346","-1.4947842","0.16236411","0.20749997","-64.82101","-1.8556366","-11.370728","-81.1972173","28.5981594","3.0","0.28599998","-5.45782470703125","on_foot",
"2019-07-28 09:00:14.153","8.272545","-12.468205","1.0452995","-0.69045717","0.29889363","1.060936","-31.19737","28.701447","-14.511505","-81.1972212","28.5981627","3.0","0.35999998","-6.48175048828125","on_foot",
"2019-07-28 09:00:14.652","2.619216","-8.391101","-0.17304084","1.5153573","-0.1950105","-2.676035","-49.373993","14.005814","-18.26503","-81.1972212","28.5981627","3.0","0.35999998","-6.48175048828125","on_foot",
"2019-07-28 09:00:15.152","6.8280716","-10.508703","4.097139","-1.2238345","-0.2986393","2.1795425","-54.811775","13.182556","-14.612579","-81.1972323","28.5981651","3.004","0.8299999","-6.621795654296875","on_foot",
"2019-07-28 09:00:15.653","6.554987","-12.571211","2.7571084","0.49219835","0.35654572","-1.2604597","-25.508356","26.772598","-15.388535","-81.1972323","28.5981651","3.004","0.8299999","-6.621795654296875","on_foot",
"2019-07-28 09:00:16.153","7.0292916","-9.905044","0.13597587","0.2229797","-0.35595578","2.4841545","-47.61682","-0.16593933","-16.726875","-81.1972521","28.5981595","3.362","1.4259999","-6.955718994140625","on_foot",
"2019-07-28 09:00:16.653","7.2832127","-10.23562","2.193213","-0.34560478","0.19633012","1.2252526","-12.49173","30.81224","-28.560616","-81.1972521","28.5981595","3.362","1.4259999","-6.955718994140625","on_foot",
"2019-07-28 09:00:17.152","4.212209","-11.747167","0.11824934","-0.15436333","0.09885845","-0.31623685","-36.77076","2.7953033","-23.61502","-81.1972673","28.5981541","3.104","1.662","-6.8602294921875","on_foot",
"2019-07-28 09:00:17.653","8.986398","-7.775462","-1.0215193","-1.9295985","-0.08062787","1.7859544","-19.963978","22.769897","-29.365593","-81.1972673","28.5981541","3.104","1.662","-6.8602294921875","on_foot",
"2019-07-28 09:00:18.152","3.9391246","-7.574242","1.1315368","1.1673893","-0.04032352","-2.5597615","-29.460186","14.555588","-26.599373","-81.1972738","28.5981505","3.0","1.3759999","-7.31005859375","on_foot",
"2019-07-28 09:00:18.652","5.8315525","-9.3445015","2.4576735","-0.14387043","-0.24611647","2.8391802","-33.931404","8.140854","-25.09362","-81.1972738","28.5981505","3.0","1.3759999","-7.31005859375","on_foot",
"2019-07-28 09:00:19.154","6.210038","-11.567506","3.7756658","0.63715416","0.35011148","-0.5477185","-3.9612372","31.386642","-28.632866","-81.1972762","28.598149","3.0","1.3959999","-7.310546875","on_foot",
"2019-07-28 09:00:19.655","7.1826024","-9.586445","0.45553273","-0.2284524","-0.2946979","-0.94538146","-39.287956","0.99224854","-20.164864","-81.1972762","28.598149","3.0","1.3959999","-7.310546875","on_foot",
